timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633983203334,1540,JDBC Request,200,OK,Thread Group 1-1,text,true,,386719,0,4,4,null,806,0,730
1633983203736,2160,JDBC Request,200,OK,Thread Group 1-2,text,true,,386719,0,6,6,null,1327,0,1259
1633983204144,2837,JDBC Request,200,OK,Thread Group 1-3,text,true,,386719,0,8,8,null,1834,0,1603
1633983204536,5249,JDBC Request,200,OK,Thread Group 1-4,text,true,,386719,0,14,14,null,1946,0,1553
1633983204939,8121,JDBC Request,200,OK,Thread Group 1-5,text,true,,386719,0,21,21,null,2168,0,2063
1633983205340,8122,JDBC Request,200,OK,Thread Group 1-6,text,true,,386719,0,20,20,null,2436,0,2265
1633983206537,6951,JDBC Request,200,OK,Thread Group 1-9,text,true,,386719,0,19,19,null,2212,0,2038
1633983205740,8852,JDBC Request,200,OK,Thread Group 1-7,text,true,,386719,0,18,18,null,2398,0,2171
1633983206148,9639,JDBC Request,200,OK,Thread Group 1-8,text,true,,386719,0,17,17,null,2519,0,2007
1633983208531,8416,JDBC Request,200,OK,Thread Group 1-14,text,true,,386719,0,16,16,null,2956,0,2729
1633983208135,9464,JDBC Request,200,OK,Thread Group 1-13,text,true,,386719,0,15,15,null,2472,0,2319
1633983210932,7524,JDBC Request,200,OK,Thread Group 1-20,text,true,,386719,0,14,14,null,3380,0,3183
1633983211735,7535,JDBC Request,200,OK,Thread Group 1-22,text,true,,386719,0,13,13,null,3158,0,2802
1633983207333,13686,JDBC Request,200,OK,Thread Group 1-11,text,true,,386719,0,12,12,null,2515,0,2305
1633983207740,13301,JDBC Request,200,OK,Thread Group 1-12,text,true,,386719,0,11,11,null,4378,0,4158
1633983208932,12199,JDBC Request,200,OK,Thread Group 1-15,text,true,,386719,0,10,10,null,4029,0,3834
1633983212934,8452,JDBC Request,200,OK,Thread Group 1-25,text,true,,386719,0,9,9,null,2492,0,2148
1633983212532,9798,JDBC Request,200,OK,Thread Group 1-24,text,true,,386719,0,8,8,null,3280,0,3097
1633983210534,12204,JDBC Request,200,OK,Thread Group 1-19,text,true,,386719,0,7,7,null,3749,0,3185
1633983210136,12638,JDBC Request,200,OK,Thread Group 1-18,text,true,,386719,0,6,6,null,2904,0,2680
1633983209332,14038,JDBC Request,200,OK,Thread Group 1-16,text,true,,386719,0,5,5,null,5546,0,5011
1633983206935,16456,JDBC Request,200,OK,Thread Group 1-10,text,true,,386719,0,4,4,null,3699,0,3005
1633983211333,12196,JDBC Request,200,OK,Thread Group 1-21,text,true,,386719,0,3,3,null,5368,0,4554
1633983212135,11760,JDBC Request,200,OK,Thread Group 1-23,text,true,,386719,0,2,2,null,5020,0,4410
1633983209739,14780,JDBC Request,200,OK,Thread Group 1-17,text,true,,386719,0,1,1,null,3247,0,2522
